the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000F9EB5FA316F154C04CD8A11BD3BD4140,231293,0101000020110F000043BD15912CC961C176DD8BB794225041,231180,>1m <=5m,ATBI DATABASE,,1446949791000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,248967,3930128,35.482998,-83.767003,Eagle Creek,,2170.726807,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446949791000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive West,Valid,Papilio_troilus,Papilio  troilus,28696,Spicebush Swallowtail,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1086134400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Papilionidae,Papilioninae,~,by hand,No,day,cert,Northshore Road EIS
0101000020E61000000D5D00E27AC454C0110D2FE1C0CA4140,231339,0101000020110F0000E0AAD1C349A361C167A168F912305041,231226,>1m <=5m,ATBI DATABASE,,1446949818000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312448,3939782,35.584004,-83.069996,Lower Johnathans Creek,Beantown Creek,4682.922852,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446949818000,GRSM,UNR,,4,,,Ferguson Cabin Horse Trail,The Purchase Road (closed Winter),Valid,Papilio_troilus,Papilio  troilus,28696,Spicebush Swallowtail,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1210377600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Papilionidae,Papilioninae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E610000013C7BCB978C454C0F33405D7C1CA4140,231340,0101000020110F0000D8F0C7EE47A361C1D48523FA13305041,231227,>1m <=5m,ATBI DATABASE,,1446949818000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312460,3939785,35.584034,-83.069865,Lower Johnathans Creek,Beantown Creek,4682.922852,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446949818000,GRSM,UNR,,7,,,Ferguson Cabin Horse Trail,The Purchase Road (closed Winter),Valid,Papilio_troilus,Papilio  troilus,28696,Spicebush Swallowtail,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1192406400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Papilionidae,Papilioninae,~,observed,No,day,cert,PKnob moths monitoring
0101000020E610000039FF74D844C454C0BBAF19CCDECA4140,231341,0101000020110F00009E43FCDE1BA361C12747C03732305041,231228,>1m <=5m,ATBI DATABASE,,1446949819000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312749,3939877,35.584917,-83.066698,Lower Johnathans Creek,Beantown Creek,4754.07373,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446949819000,GRSM,UNR,,6,,,Ferguson Cabin Trail,The Purchase Road (closed Winter),Valid,Papilio_troilus,Papilio  troilus,28696,Spicebush Swallowtail,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1192406400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Papilionidae,Papilioninae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000B5EF24FEB5C454C04C7A66E9CDCA4140,231336,0101000020110F0000ED7D8DF77BA361C1A4B2779520305041,231223,>1m <=5m,ATBI DATABASE,,1446949816000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312122,3939833,35.584402,-83.073604,Lower Johnathans Creek,,4819.37207,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446949816000,GRSM,UNR,,6,,,Ferguson Cabin Horse Trail,The Purchase Road (closed Winter),Valid,Papilio_troilus,Papilio  troilus,28696,Spicebush Swallowtail,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,958262400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Papilionidae,Papilioninae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000003D8EBE009DCA54C006E7F52FE2C64140,231333,0101000020110F0000CC18B6447FA861C129B9ED93082C5041,231220,>1m <=5m,ATBI DATABASE,,1446949815000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,303690,3936615,35.553771,-83.165829,Lower Raven Fork,,4771.516113,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446949815000,GRSM,UNR,,2,,,Flat Creek Trail,Heintooga Ridge Road,Valid,Papilio_troilus,Papilio  troilus,28696,Spicebush Swallowtail,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,990403200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Papilionidae,Papilioninae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000001C801A45B6D354C00AE4EE8066C64140,231325,0101000020110F000092D5FF8339B061C1A3F01B77872B5041,231212,>1m <=5m,ATBI DATABASE,,1446949810000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,290792,3936489,35.549996,-83.307996,Lower Oconaluftee River,Oconaluftee River,2175.952637,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446949810000,GRSM,UNR,,5,,,Newton Bald Concession Horse Trail Loop,Smokemont Horse Concessions Road,Valid,Papilio_troilus,Papilio  troilus,28696,Spicebush Swallowtail,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1090281600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Papilionidae,Papilioninae,~,aerial net, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000001D43145433D354C06AF383E347C14140,231330,0101000020110F0000CD33954ECAAF61C1C15D4CB22F265041,231217,>1m <=5m,ATBI DATABASE,,1446949813000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291413,3932035,35.51,-83.300004,Lower Oconaluftee River,,2015.644165,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446949813000,GRSM,UNR,,5,,,Oconaluftee River Trail,Access Road To Big Cove Road,Valid,Papilio_troilus,Papilio  troilus,28696,Spicebush Swallowtail,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,998006400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Papilionidae,Papilioninae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000C1B37F29D9DE54C04AB4729C0CD24140,231321,0101000020110F000047207CC7AEB961C15D67C029B2375041,231208,>1m <=5m,ATBI DATABASE,,1446949808000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,275271,3946969,35.641003,-83.482,West Prong Little Pigeon River Upper,West Prong Little Pigeon River,3135.895752,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446949808000,GRSM,UNR,,4,,,Bullhead Trail,Newfound Gap Road North,Valid,Papilio_troilus,Papilio  troilus,28696,Spicebush Swallowtail,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,430876800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Papilionidae,Papilioninae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000009093C70825DE54C0A629BAE927D74140,231322,0101000020110F0000C41BF0CB15B961C148954FB5083D5041,231209,>1m <=5m,ATBI DATABASE,,1446949809000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,276378,3951370,35.680899,-83.471006,Baskins Creek,Falls Branch,3025.010986,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446949809000,GRSM,UNR,,10,,,Trillium Gap Trail,Roaring Fork Motor Nature Trail,Valid,Papilio_troilus,Papilio  troilus,28696,Spicebush Swallowtail,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-1023235200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Papilionidae,Papilioninae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000EB42790D64D854C0A324A5528CDA4140,231324,0101000020110F00000CBBF7CA32B461C14CF285D994405041,231211,>1m <=5m,ATBI DATABASE,,1446949810000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,284587,3954109,35.7074,-83.381103,Little Pigeon River Upper,Middle Prong Little Pigeon River,1687.616699,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446949810000,GRSM,UNR,,6,,,Old Settlers Trail,Ramsey Prong Road,Valid,Papilio_troilus,Papilio  troilus,28696,Spicebush Swallowtail,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,957916800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Papilionidae,Papilioninae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
