the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000F9290D8399E754C0B6E9AB92A5BF4140,71214,0101000020110F00009D6A50821DC161C103C433487B245041,70693,>1m <=5m,ATBI DATABASE,,1446863099000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,262463,3931340,35.497234,-83.618741,Forney Creek,Bear Creek,4747.44043,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446863099000,GRSM,UNR,,4,,,Cold Spring Gap Trail,Lakeview Drive East Parking #4,Valid,Vaccinium_erythrocarpum,Vaccinium  erythrocarpum,42015,Southern Mountain-cranberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1149638400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed,No,day,cert,ATBI
0101000020E610000096AB270CADC754C07370CA8BB5C74140,71301,0101000020110F00005176E6A100A661C1B2E4533AE52C5041,70780,>1m <=5m,ATBI DATABASE,,1446863150000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,307866,3937240,35.560221,-83.119933,Upper Cataloochee Creek,Big Bald Branch,5104.569824,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446863150000,GRSM,UNR,,7,,,Hemphill Bald Trail,Heintooga Ridge Road,Valid,Vaccinium_erythrocarpum,Vaccinium  erythrocarpum,42015,Southern Mountain-cranberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,904953600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000009146C33124C854C0B679279CA6C64140,71300,0101000020110F000085E4ECD265A661C128287A62CA2B5041,70779,>1m <=5m,ATBI DATABASE,,1446863149000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,307187,3936337,35.551953,-83.127205,Upper Cataloochee Creek,Little Bald Branch,5505.323242,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446863149000,GRSM,UNR,,9,,,Hemphill Bald Trail,Heintooga Ridge Road,Valid,Vaccinium_erythrocarpum,Vaccinium  erythrocarpum,42015,Southern Mountain-cranberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1247961600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,by hand,No,day,cert,ATBI
0101000020E6100000C1EEE83DFDC854C01CB40F6D98C64140,71298,0101000020110F000028AD92291EA761C11DCD0294BB2B5041,70777,>1m <=5m,ATBI DATABASE,,1446863148000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,305985,3936315,35.55152,-83.140453,Upper Cataloochee Creek,,5323.525391,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446863148000,GRSM,UNR,,7,,,Hemphill Bald Trail,Heintooga Ridge Road,Valid,Vaccinium_erythrocarpum,Vaccinium  erythrocarpum,42015,Southern Mountain-cranberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1247961600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,by hand,No,day,cert,ATBI
0101000020E61000001131561506CA54C0DD725F22ACC84140,71297,0101000020110F00007FBEA517FFA761C1E9E6AFADE62D5041,70776,>1m <=5m,ATBI DATABASE,,1446863148000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,304559,3938147,35.567746,-83.156617,Upper Cataloochee Creek,Warm Cove Branch,4919.170898,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446863148000,GRSM,UNR,,8,,,Rough Fork Trail,Heintooga Ridge Road,Valid,Vaccinium_erythrocarpum,Vaccinium  erythrocarpum,42015,Southern Mountain-cranberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,909619200000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000005E810E113CCA54C0FB3463DBA6CA4140,71296,0101000020110F0000C66DBDF02CA861C1696D73CCF72F5041,70775,>1m <=5m,ATBI DATABASE,,1446863147000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,304298,3939869,35.58321,-83.159912,Upper Cataloochee Creek,,4710.592285,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446863147000,GRSM,UNR,,6,,,Rough Fork Trail,Heintooga Ridge Road,Valid,Vaccinium_erythrocarpum,Vaccinium  erythrocarpum,42015,Southern Mountain-cranberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,899337600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000009ED2AA5E2ACB54C065FB80AF84CE4140,71294,0101000020110F00005C00D354F7A861C1697F4FAC01345041,70773,>1m <=5m,ATBI DATABASE,,1446863146000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,303054,3943249,35.613417,-83.174457,Upper Cataloochee Creek,Falling Rock Creek,5617.931152,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446863146000,GRSM,UNR,,7,,,Spruce Mountain Trail,Balsam Mountain Road (closed Winter),Valid,Vaccinium_erythrocarpum,Vaccinium  erythrocarpum,42015,Southern Mountain-cranberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027468800000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000217835A64BCB54C0EDC99A9D34CE4140,71293,0101000020110F00000B3C799813A961C15F549206AE335041,70772,>1m <=5m,ATBI DATABASE,,1446863146000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,302864,3942982,35.610974,-83.176488,Upper Cataloochee Creek,Falling Rock Creek,5576.762207,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446863146000,GRSM,UNR,,7,,,Spruce Mountain Trail,Balsam Mountain Road (closed Winter),Valid,Vaccinium_erythrocarpum,Vaccinium  erythrocarpum,42015,Southern Mountain-cranberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027468800000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000059BC688D96DF54C0AC1CE278EEC44140,71239,0101000020110F0000B596E2A04FBA61C1BF9E46F7FE295041,70717,>1m <=5m,ATBI DATABASE,,1446863112000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273936,3935626,35.538521,-83.49356,Noland Creek,,5745.114746,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446863112000,GRSM,UNR,,7,,,Forney Ridge Trail,Clingmans Dome Road Parking #3,Valid,Vaccinium_erythrocarpum,Vaccinium  erythrocarpum,42015,Southern Mountain-cranberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065657600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E610000089B8B8A79ADF54C049B3AC0DEBC44140,71236,0101000020110F0000CE71EA1C53BA61C129E8CD65FB295041,70714,>1m <=5m,ATBI DATABASE,,1446863110000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273913,3935615,35.538416,-83.49381,Noland Creek,,5724.105469,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446863110000,GRSM,UNR,,7,,,Forney Ridge Trail,Clingmans Dome Road Parking #3,Valid,Vaccinium_erythrocarpum,Vaccinium  erythrocarpum,42015,Southern Mountain-cranberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065657600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000FEA1B2C497DF54C0F318CCFCF6C44140,71238,0101000020110F0000493E43A950BA61C128717FDA072A5041,70716,>1m <=5m,ATBI DATABASE,,1446863111000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273930,3935655,35.538781,-83.493634,Noland Creek,Keeyuga Creek,5756.193359,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446863111000,GRSM,UNR,,7,,,Forney Ridge Trail,Clingmans Dome Road Parking #3,Valid,Vaccinium_erythrocarpum,Vaccinium  erythrocarpum,42015,Southern Mountain-cranberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065657600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E610000085D1FDB39EDF54C0C4AC246DFBC44140,71231,0101000020110F00004C29058D56BA61C1E165877C0C2A5041,70710,>1m <=5m,ATBI DATABASE,,1446863108000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273892,3935671,35.538916,-83.494057,Noland Creek,Keeyuga Creek,5748.131836,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446863108000,GRSM,UNR,,6,,,Forney Ridge Trail,Clingmans Dome Road Parking #3,Valid,Vaccinium_erythrocarpum,Vaccinium  erythrocarpum,42015,Southern Mountain-cranberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,935539200000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000E27065D79DDF54C08CBFCB1EFEC44140,71234,0101000020110F00004327ABD155BA61C1DD28564C0F2A5041,70712,>1m <=5m,ATBI DATABASE,,1446863109000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273897,3935680,35.538998,-83.494005,Noland Creek,Keeyuga Creek,5757.082031,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446863109000,GRSM,UNR,,6,,,Forney Ridge Trail,Clingmans Dome Road Parking #3,Valid,Vaccinium_erythrocarpum,Vaccinium  erythrocarpum,42015,Southern Mountain-cranberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-315619200000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,unspecified,No,decade,cert,GRSMNP Grassy Balds
0101000020E610000066F4C4EFBDDF54C0A4E30281E2C44140,71229,0101000020110F00001F3AD61371BA61C1B4FD7579F2295041,70708,>1m <=5m,ATBI DATABASE,,1446863107000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273717,3935591,35.538156,-83.495964,Noland Creek,Keeyuga Creek,5618.96582,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446863107000,GRSM,UNR,,6,,,Forney Ridge Trail,Clingmans Dome Road Parking #3,Valid,Vaccinium_erythrocarpum,Vaccinium  erythrocarpum,42015,Southern Mountain-cranberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065657600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000009BC05604DDDF54C03B9365B1E2C44140,71221,0101000020110F0000F5935A798BBA61C1CD27F6ABF2295041,70700,>1m <=5m,ATBI DATABASE,,1446863103000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273545,3935596,35.538161,-83.497861,Forney Creek,Keeyuga Creek,5468.90332,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446863103000,GRSM,UNR,,5,,,Forney Ridge Trail,Clingmans Dome Road Parking #3,Valid,Vaccinium_erythrocarpum,Vaccinium  erythrocarpum,42015,Southern Mountain-cranberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056240000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000004E0DD17498DF54C06D8F246900C54140,71237,0101000020110F00003E27D73E51BA61C1647252B0112A5041,70715,>1m <=5m,ATBI DATABASE,,1446863111000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273927,3935687,35.539068,-83.493676,Noland Creek,Keeyuga Creek,5764.304199,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446863111000,GRSM,UNR,,6,,,Forney Ridge Trail,Clingmans Dome Road Parking #3,Valid,Vaccinium_erythrocarpum,Vaccinium  erythrocarpum,42015,Southern Mountain-cranberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065657600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000F7D06E8F46DD54C05EEA0A37D2C44140,71256,0101000020110F0000E25171D958B861C15DB03779E1295041,70734,>1m <=5m,ATBI DATABASE,,1446863122000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,277210,3935448,35.537658,-83.457428,Deep Creek,,4533.671875,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446863122000,GRSM,UNR,,7,,,Noland Divide Trail,Clingmans Dome Access Road,Valid,Vaccinium_erythrocarpum,Vaccinium  erythrocarpum,42015,Southern Mountain-cranberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086912000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000B1DBCABF34DD54C06365AB009CC44140,71257,0101000020110F0000B546F0B849B861C153A465E4A8295041,70735,>1m <=5m,ATBI DATABASE,,1446863123000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,277304,3935262,35.536004,-83.456341,Deep Creek,,4518.241211,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446863123000,GRSM,UNR,,7,,,Noland Divide Trail,Clingmans Dome Road Parking #3,Valid,Vaccinium_erythrocarpum,Vaccinium  erythrocarpum,42015,Southern Mountain-cranberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086912000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, ,day,cert,Fridley Veg Plots
