the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000095675ECA6E754C0A5FFD29A0DB94140,31751,0101000020110F0000C1C54EE628C161C1E52EB4FC9A1D5041,30914,>1m <=5m,ATBI DATABASE,,1446840662000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,262237,3925627,35.445721,-83.619559,Lower Fontana Lake-Little Tennessee River,,1718.332153,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446840662000,GRSM,UNR,,10,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Schizachyrium_scoparium_v_scoparium,Schizachyrium  scoparium v. scoparium,35757,Little False Bluestem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065398400000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E610000029E7EEE732D954C0C40858E028DE4140,31761,0101000020110F000083F23479E2B461C1965B11095C445041,30924,>1m <=5m,ATBI DATABASE,,1446840667000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,283521,3957267,35.735616,-83.393728,Little Pigeon River Middle,Copeland Creek,1883.097168,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446840667000,GRSM,UNR,,10,,,Old Settlers Trail,Greenbrier Unpaved Road,Valid,Schizachyrium_scoparium_v_scoparium,Schizachyrium  scoparium v. scoparium,35757,Little False Bluestem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,899164800000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000009ABA3F9F27E254C0245525DBCAD84140,31758,0101000020110F000023108EAD7DBC61C127F8F9C7BE3E5041,30921,>1m <=5m,ATBI DATABASE,,1446840665000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,270743,3952933,35.693684,-83.533664,West Prong Little Pigeon River Upper,,1482.416504,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446840665000,GRSM,UNR,,7,,,Gatlinburg Trail,Sugarlands Maintenace Yard Parking C,Valid,Schizachyrium_scoparium_v_scoparium,Schizachyrium  scoparium v. scoparium,35757,Little False Bluestem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1136073600000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed,No,day,cert,ATBI
0101000020E6100000A7B3005E80E754C02493862CA8D84140,31752,0101000020110F0000F49F532708C161C1BD9D41839A3E5041,30915,>1m <=5m,ATBI DATABASE,,1446840662000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,263179,3953014,35.692625,-83.617206,Little River-Goshen Prong,Grayback Branch,2949.947021,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446840662000,GRSM,UNR,,6,,,Little Greenbrier Trail,Little Greenbrier School Unpaved Parking,Valid,Schizachyrium_scoparium_v_scoparium,Schizachyrium  scoparium v. scoparium,35757,Little False Bluestem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1359244800000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed,No,day,cert,ATBI
0101000020E6100000ABA17C5DA0E854C0390F365B0AD94140,31749,0101000020110F0000BA211AC0FCC161C1D811E62F013F5041,30912,>1m <=5m,ATBI DATABASE,,1446840661000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,261597,3953389,35.695622,-83.634784,Little River-Goshen Prong,Brier Branch,2280.010498,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446840661000,GRSM,UNR,,5,,,Little Greenbrier Trail,Wear Cove Gap Road,Valid,Schizachyrium_scoparium_v_scoparium,Schizachyrium  scoparium v. scoparium,35757,Little False Bluestem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1354406400000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed,No,day,cert,ATBI
0101000020E6100000C760D2D3F8E954C0E324839238D84140,31747,0101000020110F00006109634D21C361C1D60B50CF253E5041,30910,>1m <=5m,ATBI DATABASE,,1446840660000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,259675,3952730,35.68922,-83.655808,Little River-Goshen Prong,Indian Camp Branch,2135.668945,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446840660000,GRSM,UNR,,7,,,Roundtop Trail,Wear Cove Gap Road,Valid,Schizachyrium_scoparium_v_scoparium,Schizachyrium  scoparium v. scoparium,35757,Little False Bluestem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1352592000000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed,No,day,cert,ATBI
0101000020E6100000DF91CF30B7E854C015456556BED84140,31748,0101000020110F000099C6D62210C261C1CD2FA1B0B13E5041,30911,>1m <=5m,ATBI DATABASE,,1446840660000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,261464,3953135,35.693302,-83.636177,Little River-Goshen Prong,,2210.948242,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446840660000,GRSM,UNR,,8,,,Little Greenbrier Trail,Wear Cove Gap Road,Valid,Schizachyrium_scoparium_v_scoparium,Schizachyrium  scoparium v. scoparium,35757,Little False Bluestem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1354406400000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed,No,day,cert,ATBI
0101000020E610000045370509DCED54C0BCC2181722D54140,31744,0101000020110F0000873058886EC661C125866756EB3A5041,30907,>1m <=5m,ATBI DATABASE,,1446840658000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,254103,3950204,35.665096,-83.716551,Little River-Rudd Branch,,1575.795898,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446840658000,GRSM,UNR,,5,,,Chestnut Top Trail,Townsend Entrance Road,Valid,Schizachyrium_scoparium_v_scoparium,Schizachyrium  scoparium v. scoparium,35757,Little False Bluestem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1357603200000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed,No,day,cert,ATBI
0101000020E6100000D669F8A460EF54C07DF25798A3D14140,31743,0101000020110F00000A301894B8C761C1456FEA6A44375041,30906,>1m <=5m,ATBI DATABASE,,1446840657000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,251871,3947235,35.637798,-83.74027,Little River-Crooked Creek,,1854.546387,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446840657000,GRSM,UNR,,6,,,Schoolhouse Gap Trail,Laurel Creek Road,Valid,Schizachyrium_scoparium_v_scoparium,Schizachyrium  scoparium v. scoparium,35757,Little False Bluestem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1137283200000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed,No,day,cert,ATBI
0101000020E6100000F1188B2ACCEA54C09C3984277DD34140,31745,0101000020110F0000AE64D8CAD4C361C1235CAD5633395041,30908,>1m <=5m,ATBI DATABASE,,1446840659000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,258396,3948660,35.65225,-83.668707,Little River-Crooked Creek,,2421.060303,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446840659000,GRSM,UNR,,8,,,Lumber Ridge Trail,Little River Gorge Road,Valid,Schizachyrium_scoparium_v_scoparium,Schizachyrium  scoparium v. scoparium,35757,Little False Bluestem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1358035200000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed,No,day,cert,ATBI
0101000020E6100000910A42FDF7E954C00B8DFA00B1D24140,31746,0101000020110F00000A62289720C361C18A9DD4F75D385041,30909,>1m <=5m,ATBI DATABASE,,1446840659000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,259550,3947937,35.64602,-83.655757,Little River-Crooked Creek,Spruce Flats Branch,2404.11792,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446840659000,GRSM,UNR,,8,,,Lumber Ridge Trail,Little River Gorge Road,Valid,Schizachyrium_scoparium_v_scoparium,Schizachyrium  scoparium v. scoparium,35757,Little False Bluestem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1358035200000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed,No,day,cert,ATBI
0101000020E610000089C3E6375AE754C07BD27520ACD74140,31753,0101000020110F0000F546F9C0E7C061C126B89EF3923D5041,30916,>1m <=5m,ATBI DATABASE,,1446840663000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,263367,3952155,35.684934,-83.614877,Little River-Goshen Prong,Poplar Branch,3530.711426,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446840663000,GRSM,UNR,,7,,,Little Greenbrier Trail,Lr Pullout Parking @ Mp 2.509,Valid,Schizachyrium_scoparium_v_scoparium,Schizachyrium  scoparium v. scoparium,35757,Little False Bluestem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1359244800000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed,No,day,cert,ATBI
0101000020E61000000D08B2D3ECF354C00CFAD96F7DCF4140,31739,0101000020110F0000D6D5AE5195CB61C178AC0C8E05355041,30902,>1m <=5m,ATBI DATABASE,,1446840655000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,245382,3945554,35.621009,-83.811326,Abrams Creek Upper,Tater Branch,2527.760742,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446840655000,GRSM,UNR,,7,,,Indian Grave Gap Trail,Rich Mountain Road (closed Winter),Valid,Schizachyrium_scoparium_v_scoparium,Schizachyrium  scoparium v. scoparium,35757,Little False Bluestem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,870825600000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000005970350132F654C03CF3382D34CC4140,31737,0101000020110F00006874DEE982CD61C1149665C096315041,30900,>1m <=5m,ATBI DATABASE,,1446840654000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,242086,3942798,35.595335,-83.846798,Abrams Creek Upper,,1719.81543,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446840654000,GRSM,UNR,,6,,,Wet Bottom Trail,Cades Cove Loop Road,Valid,Schizachyrium_scoparium_v_scoparium,Schizachyrium  scoparium v. scoparium,35757,Little False Bluestem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,283996800000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E610000031EDC9C6BAF654C0EE6FA200CBCA4140,31736,0101000020110F00004DDAE912F7CD61C1FD4AB28B1D305041,30899,>1m <=5m,ATBI DATABASE,,1446840653000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,241294,3941597,35.584313,-83.855146,Abrams Creek Lower,,2222.507812,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446840653000,GRSM,UNR,,4,,,Rabbit Creek Trail,Abrams Falls Parking Lot,Valid,Schizachyrium_scoparium_v_scoparium,Schizachyrium  scoparium v. scoparium,35757,Little False Bluestem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,252460800000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E61000004A5472C5BAF654C0033316B5CACA4140,31735,0101000020110F00001409C611F7CD61C150FACC3C1D305041,30898,>1m <=5m,ATBI DATABASE,,1446840653000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,241294,3941596,35.584304,-83.855145,Abrams Creek Lower,,2222.507812,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446840653000,GRSM,UNR,,4,,,Rabbit Creek Trail,Abrams Falls Parking Lot,Valid,Schizachyrium_scoparium_v_scoparium,Schizachyrium  scoparium v. scoparium,35757,Little False Bluestem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,378691200000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E61000008F449585A2F354C0871054F088CB4140,31740,0101000020110F0000156B323656CB61C1F7D306E8E3305041,30903,>1m <=5m,ATBI DATABASE,,1446840656000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,245695,3942114,35.59011,-83.80679,Abrams Creek Upper,Oliver Branch,1859.68335,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446840656000,GRSM,UNR,,6,,,Lawson Cemetery Access,Cades Cove Loop Road,Valid,Schizachyrium_scoparium_v_scoparium,Schizachyrium  scoparium v. scoparium,35757,Little False Bluestem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,283996800000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E6100000FAA013B41CF054C0E45E833F35C54140,31742,0101000020110F0000DEBF0C4C58C861C102394BD6482A5041,30905,>1m <=5m,ATBI DATABASE,,1446840657000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,250530,3936489,35.540681,-83.751748,Eagle Creek,,3869.027832,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446840657000,GRSM,UNR,,10,,,Eagle Creek Trail,Cades Cove Loop Road,Valid,Schizachyrium_scoparium_v_scoparium,Schizachyrium  scoparium v. scoparium,35757,Little False Bluestem,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,902188800000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, ,day,cert,Fridley Veg Plots
