the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E610000089ACD5218EEE54C0F1A9BF0569BC4140,4029,0101000020110F0000C90356CA05C761C1F27FAC161B215041,3403,>1m <=5m,ATBI DATABASE,,1446825403000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252525,3928802,35.471948,-83.727421,Hazel Creek,Hazel Creek,1801.020264,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446825403000,GRSM,UNR,,5,,,Hazel Creek Trail,Lakeview Drive West,Valid,Polygonia_comma,Polygonia  comma,32084,Comma,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1276128000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,aerial net,No,day,cert,Tremont Expeditions
0101000020E61000008795F0D5A5C454C083F926AB74CA4140,4072,0101000020110F00007E44AC3E6EA361C167172663C32F5041,3445,>1m <=5m,ATBI DATABASE,,1446825426000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312205,3939529,35.581679,-83.072618,Lower Johnathans Creek,,4616.470215,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446825426000,GRSM,UNR,,7,,,Ferguson Cabin Trail,The Purchase Road (closed Winter),Valid,Polygonia_comma,Polygonia  comma,32084,Comma,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1089158400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,observed,No,day,cert,Lepidoptera Survey
0101000020E61000007ECA104B33CB54C09C1B74C5E9C64140,4064,0101000020110F0000DFE4F6E8FEA861C156CBB07E102C5041,3437,>1m <=5m,ATBI DATABASE,,1446825422000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,302859,3936659,35.554002,-83.175002,Lower Raven Fork,,4895.686035,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446825422000,GRSM,UNR,,7,,,Flat Creek Trail,Heintooga Ridge Road,Valid,Polygonia_comma,Polygonia  comma,32084,Comma,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-1088899200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E61000003EE53D733BCF54C06CD0B70F7DCF4140,4063,0101000020110F00002D496F856BAC61C1FE1A9C2905355041,3436,>1m <=5m,ATBI DATABASE,,1446825422000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,297317,3944219,35.620997,-83.238,Upper Raven Fork,,4585.983398,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446825422000,GRSM,UNR,,8,,,Hyatt Ridge Trail,Hyatt Ridge Trailhead,Valid,Polygonia_comma,Polygonia  comma,32084,Comma,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-990921600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000E5B963E9F7D354C02683E7DB4BC74140,4061,0101000020110F00000480E24371B061C1108380E4762C5041,3434,>1m <=5m,ATBI DATABASE,,1446825420000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,290447,3937274,35.556996,-83.312002,Bradley Fork,Bradley Fork,2206.540039,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446825420000,GRSM,UNR,,6,,,Smokemont Nature Trail,Smokemont Campground Road Ba,Valid,Polygonia_comma,Polygonia  comma,32084,Comma,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-1055462400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E61000000E542BEBF5D254C0FDF4274AF2C44140,4062,0101000020110F00007D21CF2696AF61C1B96C46F3022A5041,3435,>1m <=5m,ATBI DATABASE,,1446825421000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291827,3935204,35.538637,-83.296256,Lower Oconaluftee River,Tow String Creek,2144.140625,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446825421000,GRSM,UNR,,6,,,Chambers Cemetery Access,Tow String Horse Barn Road,Valid,Polygonia_comma,Polygonia  comma,32084,Comma,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-1047772800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000009A959743E5DF54C052AF6DE701C84140,4052,0101000020110F0000531E717A92BA61C131AB64F2342D5041,3425,>1m <=5m,ATBI DATABASE,,1446825415000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273568,3938303,35.562551,-83.498364,Forney Creek,Forney Creek,6639.910645,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446825415000,GRSM,UNR,,6,,,Clingmans Dome Trail,Clingmans Dome Access Road,Valid,Polygonia_comma,Polygonia  comma,32084,Comma,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-676425600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E61000006B83D1B49DDF54C06360127831C84140,4055,0101000020110F00005F354DB455BA61C1FBC4509B662D5041,3428,>1m <=5m,ATBI DATABASE,,1446825417000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273968,3938454,35.564003,-83.493997,Noland Creek,Clingmans Creek,6107.651367,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446825417000,GRSM,UNR,,4,,,Appalachian Trail,Clingmans Dome Access Road,Valid,Polygonia_comma,Polygonia  comma,32084,Comma,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-971481600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000AED21F9288DF54C0F96E0C64AAD14140,4058,0101000020110F00002D55FFC043BA61C19346EF844B375041,3431,>1m <=5m,ATBI DATABASE,,1446825418000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,274293,3946661,35.638006,-83.492707,West Prong Little Pigeon River Upper,West Prong Little Pigeon River,2794.644775,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446825418000,GRSM,UNR,,6,,,Cove Hardwood Nature Trail,The Chimney Tops Pullout Parking,Valid,Polygonia_comma,Polygonia  comma,32084,Comma,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-971308800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000E131321704DE54C02CE828CD47D14140,4059,0101000020110F00002AF44AD1F9B861C137365D7EE4365041,3432,>1m <=5m,ATBI DATABASE,,1446825419000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,276432,3946273,35.634997,-83.468996,West Prong Little Pigeon River Upper,,3412.193848,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446825419000,GRSM,UNR,,2,,,Chimney Tops Trail,Newfound Gap Road North,Valid,Polygonia_comma,Polygonia  comma,32084,Comma,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1090195200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,aerial net, , ,cert,ATBI Lepidoptera TWiG
0101000020E610000007C785335ADC54C09BDF898968D14140,4060,0101000020110F0000AA2F0E1C90B761C13528BAB306375041,3433,>1m <=5m,ATBI DATABASE,,1446825420000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,278789,3946325,35.635996,-83.443001,West Prong Little Pigeon River Upper,,4504.887207,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446825420000,GRSM,UNR,,6,,,Alum Cave Trail,Alum Cave Bluffs Trailhead Parking,Valid,Polygonia_comma,Polygonia  comma,32084,Comma,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-971481600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E610000072892D81F7DF54C08599949491D74140,4053,0101000020110F0000639052F8A1BA61C172DEAB31773D5041,3426,>1m <=5m,ATBI DATABASE,,1446825416000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,273810,3951793,35.684123,-83.499477,Le Conte Creek,Le Conte Creek,2134.150146,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446825416000,GRSM,UNR,,7,,,Twin Creeks Trail,Natural Resources Center Parking #4,Valid,Polygonia_comma,Polygonia  comma,32084,Comma,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,922665600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,Malaise trap (Townes), , ,cert,ATBI Pilot Study
0101000020E6100000C6594E2B2DE254C0A1D908D316D94140,4048,0101000020110F0000AD219C6382BC61C1060DD3390E3F5041,3421,>1m <=5m,ATBI DATABASE,,1446825413000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,270719,3953191,35.696002,-83.534003,West Prong Little Pigeon River Upper,Dry Pond Branch,1840.945068,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446825413000,GRSM,UNR,,6,,,Cove Mountain Trail,Newfound Gap Road North,Valid,Polygonia_comma,Polygonia  comma,32084,Comma,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-465436800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E610000006BC8A941FEC54C00299BE5318D24140,4032,0101000020110F000047638C0EF5C461C1D61C3168BE375041,3406,>1m <=5m,ATBI DATABASE,,1446825405000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,256487,3947503,35.641361,-83.689423,Little River-Crooked Creek,Middle Prong Little River,1349.121338,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446825405000,GRSM,UNR,,6,,,Lumber Ridge Trail,Tremont Environmental Education Center Road,Valid,Polygonia_comma,Polygonia  comma,32084,Comma,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1173312000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,observed,No,day,cert,General
0101000020E6100000D9CED9902CEC54C0BA1EF4882BD24140,4031,0101000020110F0000368DE21500C561C1E64BFE7AD2375041,3405,>1m <=5m,ATBI DATABASE,,1446825404000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,256417,3947570,35.641947,-83.690216,Little River-Crooked Creek,Middle Prong Little River,1336.417114,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446825404000,GRSM,UNR,,6,,,Lumber Ridge Trail,Tremont Institute Parking #2,Valid,Polygonia_comma,Polygonia  comma,32084,Comma,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1173052800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,observed,No,day,cert,General
0101000020E61000008EE7E258DFEF54C00563FFA768D14140,4025,0101000020110F00003E99ED2F24C861C16D7C8ED306375041,3399,>1m <=5m,ATBI DATABASE,,1446825401000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,251165,3947055,35.635999,-83.748003,Little River-Crooked Creek,,1644.438721,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446825401000,GRSM,UNR,,1,,,Turkeypen Ridge Trail,Laurel Creek Road,Valid,Polygonia_comma,Polygonia  comma,32084,Comma,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,581644800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000006D224FFF2AEF54C05C6DDC9A68D14140,4028,0101000020110F0000BC7717048BC761C17639D4C506375041,3402,>1m <=5m,ATBI DATABASE,,1446825402000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,252162,3947027,35.635998,-83.736995,Little River-Crooked Creek,,1903.117798,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446825402000,GRSM,UNR,,7,,,Turkeypen Ridge Trail,Laurel Creek Road,Valid,Polygonia_comma,Polygonia  comma,32084,Comma,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-1003708800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000832D25B4EDE454C02B850A5FB6D34140,4039,0101000020110F0000509520C0D8BE61C1934A7C246F395041,3412,>1m <=5m,ATBI DATABASE,,1446825408000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,266705,3948632,35.653996,-83.577004,Little River-Goshen Prong,Little River,2240.803223,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446825408000,GRSM,UNR,,3,,,Little River Trail,Little River Road,Valid,Polygonia_comma,Polygonia  comma,32084,Comma,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-1047772800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
