the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E610000045AEC4D16FE854C035A4C869EEB84140,165510,0101000020110F0000F29E3C85D3C161C1CD803B787A1D5041,165187,>1m <=5m,ATBI DATABASE,,1446912083000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,261121,3925551,35.444769,-83.631821,Lower Fontana Lake-Little Tennessee River,,1752.540771,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446912083000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Epigaea_repens,Epigaea  repens,14106,Trailing-arbutus,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1083110400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000004D726FFA4ACC54C0D49E04C94AE24140,164257,0101000020110F00009CE75472ECA961C125C26C25AF485041,165242,>1m <=5m,ATBI DATABASE,,1446912112000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,301841,3960422,35.7679,-83.192072,Cosby Creek,,2410.401367,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446912112000,GRSM,UNR,,7,,,Lower Mount Cammerer Trail,Cosby Entrance Road,Valid,Epigaea_repens,Epigaea  repens,14106,Trailing-arbutus,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,932947200000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000003A2994D17DCC54C0F42A770EC1E14140,163646,0101000020110F000075D818A017AA61C1A6C988FC1E485041,165240,>1m <=5m,ATBI DATABASE,,1446912111000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,301550,3959962,35.763697,-83.195175,Cosby Creek,,2635.37207,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446912111000,GRSM,UNR,,7,,,Lower Mount Cammerer Trail,Cosby Entrance Road,Valid,Epigaea_repens,Epigaea  repens,14106,Trailing-arbutus,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,932947200000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000EAC712154BCC54C082C8BF22C1E14140,163838,0101000020110F00004E91F488ECA961C150B8C3111F485041,165241,>1m <=5m,ATBI DATABASE,,1446912112000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,301830,3959956,35.7637,-83.192079,Cosby Creek,Riding Fork,2471.793945,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446912112000,GRSM,UNR,,3,,,Lower Mount Cammerer Trail,Cosby Picnic Area Parking C,Valid,Epigaea_repens,Epigaea  repens,14106,Trailing-arbutus,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,970185600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000651A0B1234CC54C01C70C8CCA6E14140,164374,0101000020110F0000DBA3B3FDD8A961C18E31378103485041,165243,>1m <=5m,ATBI DATABASE,,1446912113000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,301955,3959864,35.762896,-83.190674,Cosby Creek,Riding Fork,2694.978027,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446912113000,GRSM,UNR,,6,,,Lower Mount Cammerer Trail,Cosby Picnic Area Parking C,Valid,Epigaea_repens,Epigaea  repens,14106,Trailing-arbutus,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,932947200000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E610000086E2897E1FCA54C05473A225DBE14140,165559,0101000020110F00007B7984AC14A861C142146D4B3A485041,165245,>1m <=5m,ATBI DATABASE,,1446912114000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,304898,3959976,35.764493,-83.158168,Big Creek,,4387.623535,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446912114000,GRSM,UNR,,4,,,Appalachian Trail,Cosby Campground Road B,Valid,Epigaea_repens,Epigaea  repens,14106,Trailing-arbutus,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,970099200000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000002DE9D2065AC754C00509BB7CF9DF4140,165561,0101000020110F0000F080701FBAA561C185A50C3342465041,165247,>1m <=5m,ATBI DATABASE,,1446912115000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308778,3958260,35.749794,-83.114866,Big Creek,Big Creek,1794.125977,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446912115000,GRSM,UNR,,8,,,Big Creek Trail,Big Creek Campground Loop Road,Valid,Epigaea_repens,Epigaea  repens,14106,Trailing-arbutus,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,994896000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E610000087C65FCF61C854C03E01F5EF45DE4140,165560,0101000020110F0000005B75279AA661C126D626717A445041,165246,>1m <=5m,ATBI DATABASE,,1446912114000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,307290,3956817,35.736502,-83.130966,Big Creek,Big Creek,2373.484619,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446912114000,GRSM,UNR,,9,,,Big Creek Trail,Big Creek Campground Loop Road,Valid,Epigaea_repens,Epigaea  repens,14106,Trailing-arbutus,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,994896000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000175D83637BCE54C002B4BA905FDF4140,165557,0101000020110F0000586F4467C8AB61C13852A820A1455041,165239,>1m <=5m,ATBI DATABASE,,1446912111000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,298691,3957962,35.745097,-83.226277,Cosby Creek,Crying Creek,3700.367188,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446912111000,GRSM,UNR,,4,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Epigaea_repens,Epigaea  repens,14106,Trailing-arbutus,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,925430400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E610000012B5798B83CE54C05FB3DAD879DF4140,165556,0101000020110F00003E089354CFAB61C1B2F624A1BC455041,165238,>1m <=5m,ATBI DATABASE,,1446912110000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,298648,3958052,35.745899,-83.226775,Cosby Creek,Crying Creek,3733.500488,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446912110000,GRSM,UNR,,7,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Epigaea_repens,Epigaea  repens,14106,Trailing-arbutus,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,933033600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000A2633C8788CE54C01A61E2738DDF4140,165554,0101000020110F000088FF1390D3AB61C1EF4B3C25D1455041,165236,>1m <=5m,ATBI DATABASE,,1446912110000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,298622,3958119,35.746497,-83.227079,Cosby Creek,Crying Creek,3803.445557,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446912110000,GRSM,UNR,,5,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Epigaea_repens,Epigaea  repens,14106,Trailing-arbutus,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,925430400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000009EDF41FDF8CA54C0DDB85783C3D04140,165558,0101000020110F0000A6847864CDA861C1018E3C425A365041,165244,>1m <=5m,ATBI DATABASE,,1446912113000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,303370,3945189,35.63096,-83.171443,Upper Cataloochee Creek,,4238.960938,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446912113000,GRSM,UNR,,4,,,Palmer Creek Trail,Balsam Mountain Road (closed Winter),Valid,Epigaea_repens,Epigaea  repens,14106,Trailing-arbutus,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1020988800000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000EA918FA813C654C0A427B7BD02D64140,165563,0101000020110F0000BCBF2CF0A4A461C162C8F130D63B5041,165249,>1m <=5m,ATBI DATABASE,,1446912116000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,310395,3949586,35.671952,-83.094946,Lower Cataloochee Creek,,3100.962402,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446912116000,GRSM,UNR,,7,,,Long Bunk Trail,Old Cataloochee Turnpike,Valid,Epigaea_repens,Epigaea  repens,14106,Trailing-arbutus,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1324166400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed,No,day,cert,ATBI
0101000020E6100000ED49D2C8B6C554C0EE934C23EDCF4140,165565,0101000020110F00003F8F6E0F56A461C195C10F437A355041,165251,>1m <=5m,ATBI DATABASE,,1446912117000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,310796,3944302,35.624417,-83.089277,Upper Cataloochee Creek,Caldwell Fork,2698.417725,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446912117000,GRSM,UNR,,2,,,Cataloochee Horse Trail,Cataloochee Entrance Road,Valid,Epigaea_repens,Epigaea  repens,14106,Trailing-arbutus,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1033689600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000003F953311DFC554C0DA67517C95CF4140,165564,0101000020110F0000924FBD4578A461C106C252AE1E355041,165250,>1m <=5m,ATBI DATABASE,,1446912116000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,310567,3944010,35.621743,-83.091736,Upper Cataloochee Creek,Caldwell Fork,3023.883057,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446912116000,GRSM,UNR,,7,,,Caldwell Fork Trail,Cataloochee Entrance Road,Valid,Epigaea_repens,Epigaea  repens,14106,Trailing-arbutus,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,898128000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000091D0663AD3C654C0EBF15C8E80CC4140,165562,0101000020110F00006FF46CA347A561C1C8D42887E6315041,165248,>1m <=5m,ATBI DATABASE,,1446912115000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309160,3941368,35.597666,-83.106638,Upper Cataloochee Creek,Caldwell Fork,3144.494629,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446912115000,GRSM,UNR,,7,,,Big Fork Ridge Trail,Cataloochee Entrance Road,Valid,Epigaea_repens,Epigaea  repens,14106,Trailing-arbutus,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1020902400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000004DF018E1D7C454C049C48CD719CB4140,165566,0101000020110F0000B27031BF98A361C171C759E16F305041,165252,>1m <=5m,ATBI DATABASE,,1446912117000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311940,3940094,35.586719,-83.075672,Lower Johnathans Creek,,4964.515137,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446912117000,GRSM,UNR,,6,,,Science Center Trail,The Purchase Road (closed Winter),Valid,Epigaea_repens,Epigaea  repens,14106,Trailing-arbutus,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027382400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000003B7CFA5152CE54C094070DF0E9CD4140,165553,0101000020110F0000C7771E86A5AB61C1A3E5700360335041,165235,>1m <=5m,ATBI DATABASE,,1446912109000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,298575,3942825,35.608695,-83.22377,Straight Fork Raven Fork,Hyatt Creek,2961.710938,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446912109000,GRSM,UNR,,6,,,Hyatt Ridge Trail,Straight Fork Road,Valid,Epigaea_repens,Epigaea  repens,14106,Trailing-arbutus,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,924998400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000CAFA30EFAFCE54C0CAFFAC4540CE4140,165552,0101000020110F00006B26C807F5AB61C191EEED33BA335041,165234,>1m <=5m,ATBI DATABASE,,1446912108000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,298064,3943129,35.61133,-83.229484,Straight Fork Raven Fork,Hyatt Creek,3321.738525,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446912108000,GRSM,UNR,,6,,,Hyatt Ridge Trail,Straight Fork Road,Valid,Epigaea_repens,Epigaea  repens,14106,Trailing-arbutus,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,998870400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, ,day,cert,Fridley Veg Plots
