the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000413B10879CC954C063611FDCDEE04140,130670,0101000020110F0000944B9F71A5A761C10490953E32475041,130251,>1m <=5m,ATBI DATABASE,,1446892218000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,305602,3959106,35.756794,-83.150175,Big Creek,,3475.40332,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446892218000,GRSM,UNR,,6,,,Appalachian Trail,Big Creek Campground Loop Road,Valid,Carex_brunnescens_sphaerostachya,Carex  brunnescens sphaerostachya,3387,Brownish Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,988934400000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000029FA8DC029DC54C09953BD8DB1D34140,130658,0101000020110F00004EF835F666B761C1255E681B6A395041,130239,>1m <=5m,ATBI DATABASE,,1446892211000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,279106,3948299,35.653849,-83.440044,Roaring Fork,Roaring Fork,6414.718262,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446892211000,GRSM,UNR,,6,,,Boulevard Trail,Nfg Pullout Parking At Mp 9.48,Valid,Carex_brunnescens_sphaerostachya,Carex  brunnescens sphaerostachya,3387,Brownish Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,900374400000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000E54DEBBA20DC54C085ED4794FAD34140,130660,0101000020110F0000B2FFA24C5FB761C1C6F4AA6FB6395041,130241,>1m <=5m,ATBI DATABASE,,1446892212000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,279162,3948545,35.656078,-83.439494,Roaring Fork,Roaring Fork,6289.666016,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446892212000,GRSM,UNR,,5,,,Trillium Gap Trail,Nfg Pullout Parking At Mp 9.48,Valid,Carex_brunnescens_sphaerostachya,Carex  brunnescens sphaerostachya,3387,Brownish Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,994636800000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000A37E726F79DC54C0DE8353D0C1D34140,130653,0101000020110F0000612BFFA2AAB761C155F3411A7B395041,130234,>1m <=5m,ATBI DATABASE,,1446892208000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,278667,3948365,35.654345,-83.444908,West Prong Little Pigeon River Upper,,6378.271973,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446892208000,GRSM,UNR,,4,,,Alum Cave Trail,Nfg Pullout Parking At Mp 9.48,Valid,Carex_brunnescens_sphaerostachya,Carex  brunnescens sphaerostachya,3387,Brownish Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,645235200000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000038B5CCB27FDC54C02425BBAEECD34140,130652,0101000020110F00007C75B9F4AFB761C126F522E9A7395041,130233,>1m <=5m,ATBI DATABASE,,1446892207000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,278636,3948511,35.655654,-83.44529,Le Conte Creek,Le Conte Creek,6357.649902,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446892207000,GRSM,UNR,,6,,,Alum Cave Trail,Nfg Pullout Parking At Mp 9.48,Valid,Carex_brunnescens_sphaerostachya,Carex  brunnescens sphaerostachya,3387,Brownish Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,283996800000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E610000049AA17C590DE54C0D359AFE700D34140,130648,0101000020110F0000C602E84B71B961C1CEDCD079B1385041,130229,>1m <=5m,ATBI DATABASE,,1446892205000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,275692,3947786,35.648458,-83.477582,West Prong Little Pigeon River Upper,Big Branch,5015.061523,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446892205000,GRSM,UNR,,3,,,Bullhead Trail,Newfound Gap Road North,Valid,Carex_brunnescens_sphaerostachya,Carex  brunnescens sphaerostachya,3387,Brownish Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,872121600000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000B17F645BA2DC54C09B3E45522ED44140,130651,0101000020110F0000276D3864CDB761C17E573885EC395041,130232,>1m <=5m,ATBI DATABASE,,1446892207000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,278450,3948738,35.657657,-83.447405,Le Conte Creek,Le Conte Creek,5928.389648,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446892207000,GRSM,UNR,,7,,,Rainbow Falls Trail,Nfg Pullout Parking At Mp 9.48,Valid,Carex_brunnescens_sphaerostachya,Carex  brunnescens sphaerostachya,3387,Brownish Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,989884800000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000532B3AFC0FDC54C0436B477647D44140,130662,0101000020110F000011AAF21351B761C1D024A5CC063A5041,130243,>1m <=5m,ATBI DATABASE,,1446892213000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,279261,3948803,35.658424,-83.438472,Roaring Fork,,6155.619629,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446892213000,GRSM,UNR,,6,,,Trillium Gap Trail,Nfg Pullout Parking At Mp 9.48,Valid,Carex_brunnescens_sphaerostachya,Carex  brunnescens sphaerostachya,3387,Brownish Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,994809600000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000002A5AACEDF5DB54C0152AC78AB8D54140,130663,0101000020110F00004AF2A4F23AB761C1D56AC19E883B5041,130244,>1m <=5m,ATBI DATABASE,,1446892214000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,279436,3950049,35.669687,-83.436881,Roaring Fork,Surry Fork,4491.190918,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446892214000,GRSM,UNR,,7,,,Trillium Gap Trail,Roaring Fork Motor Nature Trail,Valid,Carex_brunnescens_sphaerostachya,Carex  brunnescens sphaerostachya,3387,Brownish Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,897955200000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000002AD1F584D2DB54C08B3D0F49C8D34140,130666,0101000020110F00000F0FFBDF1CB761C1BCA4EDDD81395041,130247,>1m <=5m,ATBI DATABASE,,1446892216000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,279590,3948364,35.654543,-83.43472,Porters Creek,Styx Branch,6419.41748,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446892216000,GRSM,UNR,,6,,,Boulevard Trail,Alum Cave Bluffs Trailhead Parking,Valid,Carex_brunnescens_sphaerostachya,Carex  brunnescens sphaerostachya,3387,Brownish Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,283996800000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E61000000693BFD4DFDB54C0D4920DF2DAD34140,130665,0101000020110F0000DE59372E28B761C1C5CD045F95395041,130246,>1m <=5m,ATBI DATABASE,,1446892215000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,279518,3948429,35.655112,-83.435533,Porters Creek,Styx Branch,6429.022949,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446892215000,GRSM,UNR,,7,,,Boulevard Trail,Nfg Pullout Parking At Mp 9.48,Valid,Carex_brunnescens_sphaerostachya,Carex  brunnescens sphaerostachya,3387,Brownish Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,928800000000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000051B16F5CE3DB54C0FE241F44BDD34140,130664,0101000020110F0000C3FBB72D2BB761C1C673655976395041,130245,>1m <=5m,ATBI DATABASE,,1446892215000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,279496,3948329,35.654207,-83.435748,West Prong Little Pigeon River Upper,Styx Branch,6541.716309,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446892215000,GRSM,UNR,,7,,,Boulevard Trail,Alum Cave Bluffs Trailhead Parking,Valid,Carex_brunnescens_sphaerostachya,Carex  brunnescens sphaerostachya,3387,Brownish Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,903139200000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000009B73AE3016D854C0058C581240D14140,130668,0101000020110F0000B67E0AAAF0B361C19F078D6ADC365041,130249,>1m <=5m,ATBI DATABASE,,1446892217000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,284822,3946040,35.634761,-83.37635,Upper Oconaluftee River,,5474.635742,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446892217000,GRSM,UNR,,5,,,Appalachian Trail,Newfound Gap Road North,Valid,Carex_brunnescens_sphaerostachya,Carex  brunnescens sphaerostachya,3387,Brownish Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,901670400000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000085A50DC9A1D054C0147B1BB47ADD4140,130669,0101000020110F0000125BFDDA9BAD61C15AE21CCEA5435041,130250,>1m <=5m,ATBI DATABASE,,1446892218000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,295615,3956390,35.7303,-83.259871,Cosby Creek,Otter Creek,4270.570801,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446892218000,GRSM,UNR,,5,,,Maddron Bald Trail,Cosby Campground Road B,Valid,Carex_brunnescens_sphaerostachya,Carex  brunnescens sphaerostachya,3387,Brownish Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,961459200000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000BE67F4084DE054C051B9CB76ECC74140,130644,0101000020110F0000FBA3699CEABA61C1CF8F1B901E2D5041,130225,>1m <=5m,ATBI DATABASE,,1446892203000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272992,3938245,35.561897,-83.504698,Forney Creek,Forney Creek,6482.195801,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446892203000,GRSM,UNR,,6,,,Appalachian Trail,Clingmans Dome Road Parking #3,Valid,Carex_brunnescens_sphaerostachya,Carex  brunnescens sphaerostachya,3387,Brownish Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,646099200000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000008371A0224FE054C08E57AD47FFC74140,130643,0101000020110F0000F2C30E65ECBA61C189471035322D5041,130224,>1m <=5m,ATBI DATABASE,,1446892202000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272982,3938309,35.562471,-83.504826,Little River-Goshen Prong,Forney Creek,6441.727539,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446892202000,GRSM,UNR,,7,,,Appalachian Trail,Clingmans Dome Access Road,Valid,Carex_brunnescens_sphaerostachya,Carex  brunnescens sphaerostachya,3387,Brownish Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,646444800000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000005EBFB17E0BF654C022F47D8215CC4140,130641,0101000020110F0000D791073562CD61C1E18BACB876315041,130222,>1m <=5m,ATBI DATABASE,,1446892201000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,242296,3942688,35.5944,-83.844447,Abrams Creek Upper,,1710.5802,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446892201000,GRSM,UNR,,5,,,Elijah Oliver Cabin Access Trail,Cades Cove Loop Road,Valid,Carex_brunnescens_sphaerostachya,Carex  brunnescens sphaerostachya,3387,Brownish Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,252460800000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E6100000595EDB3687F554C0FD657A40DBC94140,130642,0101000020110F0000033976DCF1CC61C134AD882E232F5041,130223,>1m <=5m,ATBI DATABASE,,1446892201000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,242972,3940736,35.576997,-83.836374,Abrams Creek Upper,Wildcat Branch,1925.342041,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446892201000,GRSM,UNR,,3,,,Gregory Ridge Trail,Forge Creek Road,Valid,Carex_brunnescens_sphaerostachya,Carex  brunnescens sphaerostachya,3387,Brownish Sedge,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,220924800000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Cyperaceae, ,~,observed, ,year,cert,Fridley Veg Plots
