the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000BAEDF99CC6FA54C0840CFF51AABC4140,73759,0101000020110F0000C42C6FCF66D161C177CB802F5F215041,73138,>1m <=5m,ATBI DATABASE,,1446864492000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,235201,3929519,35.473941,-83.918368,Chilhowee Lake,Cooper Camp Branch,2123.134766,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446864492000,GRSM,UNR,,10,,,Twentymile Trail,Parson Branch Road (closed Winter),Valid,Viola_hastata,Viola  hastata,42317,Halberd-leaf Yellow Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E61000001C7C226135E154C00C9059D7D7BC4140,73920,0101000020110F0000D4BEF2F0AFBB61C18C34A9A88E215041,73298,>1m <=5m,ATBI DATABASE,,1446864577000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,271461,3928674,35.47533,-83.518879,Noland Creek,Bearpen Branch,2376.300293,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446864577000,GRSM,UNR,,4,,,Noland Creek Trail,Lakeview Drive East,Valid,Viola_hastata,Viola  hastata,42317,Halberd-leaf Yellow Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1085184000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000C54C1045A6E154C0D4C85F48B1BA4140,73919,0101000020110F000003BFAAD10FBC61C118BAD28A501F5041,73297,>1m <=5m,ATBI DATABASE,,1446864576000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,270788,3926826,35.458528,-83.525769,Noland Creek,Noland Creek,1851.705811,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446864576000,GRSM,UNR,,7,,,Noland Creek Trail,Lakeview Drive East,Valid,Viola_hastata,Viola  hastata,42317,Halberd-leaf Yellow Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086825600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000003FDD526473E254C0899E871F4BBB4140,73918,0101000020110F000004227F07BEBC61C1388611F4F01F5041,73296,>1m <=5m,ATBI DATABASE,,1446864576000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,269665,3927376,35.463223,-83.538289,Noland Creek,,2218.819824,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446864576000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Viola_hastata,Viola  hastata,42317,Halberd-leaf Yellow Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1085529600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000059AD89EEA1E254C0838EFC1F32BB4140,73917,0101000020110F0000230E3E8EE5BC61C1442E08E3D61F5041,73295,>1m <=5m,ATBI DATABASE,,1446864575000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,269405,3927298,35.46246,-83.541129,Noland Creek,,2369.100586,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446864575000,GRSM,UNR,,2,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Viola_hastata,Viola  hastata,42317,Halberd-leaf Yellow Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1088294400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000047D0B69FAED154C004CE6000DFE04140,73934,0101000020110F000033DD182E80AE61C19744876432475041,73313,>1m <=5m,ATBI DATABASE,,1446864586000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,294199,3959364,35.756799,-83.276279,Cosby Creek,Maddron Creek,2275.632324,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446864586000,GRSM,UNR,,8,,,Old Settlers Trail,Cosby Entrance Road,Valid,Viola_hastata,Viola  hastata,42317,Halberd-leaf Yellow Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,956448000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000610EA4E666CC54C0C12A3A3993E14140,73951,0101000020110F0000260A4E2904AA61C1D56BDD03EF475041,73330,>1m <=5m,ATBI DATABASE,,1446864595000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,301673,3959804,35.762298,-83.193777,Cosby Creek,,2544.579102,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446864595000,GRSM,UNR,,3,,,Lower Mount Cammerer Trail,Cosby Picnic Area Parking C,Valid,Viola_hastata,Viola  hastata,42317,Halberd-leaf Yellow Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,925516800000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E610000055304E026FCC54C0A5CC90AE82E14140,73950,0101000020110F00003BDC2A0C0BAA61C128A0AEB3DD475041,73329,>1m <=5m,ATBI DATABASE,,1446864595000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,301627,3959749,35.761794,-83.194271,Cosby Creek,,2548.987061,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446864595000,GRSM,UNR,,6,,,Lower Mount Cammerer Trail,Cosby Picnic Area Parking C,Valid,Viola_hastata,Viola  hastata,42317,Halberd-leaf Yellow Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,925516800000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000009FCAD6EB97CC54C035F638224BE14140,73949,0101000020110F00000DC257CB2DAA61C128974090A3475041,73328,>1m <=5m,ATBI DATABASE,,1446864594000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,301397,3959566,35.760098,-83.196769,Cosby Creek,Toms Creek,2474.160645,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446864594000,GRSM,UNR,,3,,,Lower Mount Cammerer Trail,Cosby Picnic Area Parking C,Valid,Viola_hastata,Viola  hastata,42317,Halberd-leaf Yellow Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,925516800000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000619148A36ECD54C0BDC9693B65E14140,73948,0101000020110F0000A2EC3527E4AA61C1CA99F1E0BE475041,73327,>1m <=5m,ATBI DATABASE,,1446864594000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300214,3959681,35.760895,-83.209874,Cosby Creek,Cosby Creek,2074.744385,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446864594000,GRSM,UNR,,9,,,Gabes Mountain Trail,Cosby Entrance Road,Valid,Viola_hastata,Viola  hastata,42317,Halberd-leaf Yellow Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,925516800000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000004195385D1CCE54C03374897617DF4140,73946,0101000020110F0000F595F0B277AB61C1734AE2AD55455041,73325,>1m <=5m,ATBI DATABASE,,1446864593000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299210,3957706,35.742897,-83.220477,Cosby Creek,Inadu Creek,3092.985596,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446864593000,GRSM,UNR,,5,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Viola_hastata,Viola  hastata,42317,Halberd-leaf Yellow Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,925430400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E610000009C7EA5E40CE54C06E395E5B21DF4140,73943,0101000020110F00007A2E884796AB61C16334390860455041,73322,>1m <=5m,ATBI DATABASE,,1446864591000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299012,3957744,35.743199,-83.222675,Cosby Creek,Inadu Creek,3195.136475,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446864591000,GRSM,UNR,,4,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Viola_hastata,Viola  hastata,42317,Halberd-leaf Yellow Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,925430400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000006AD0587A3BCE54C0DCC40C3E21DF4140,73944,0101000020110F0000C145B91F92AB61C19C868BE95F455041,73323,>1m <=5m,ATBI DATABASE,,1446864592000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299039,3957743,35.743195,-83.222376,Cosby Creek,Inadu Creek,3178.103516,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446864592000,GRSM,UNR,,6,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Viola_hastata,Viola  hastata,42317,Halberd-leaf Yellow Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,957052800000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000B7CF4B412ECE54C073BCC56D3BDF4140,73945,0101000020110F0000868CCCE486AB61C1342C54507B455041,73324,>1m <=5m,ATBI DATABASE,,1446864592000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299114,3957830,35.743994,-83.221569,Cosby Creek,Inadu Creek,3066.615479,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446864592000,GRSM,UNR,,2,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Viola_hastata,Viola  hastata,42317,Halberd-leaf Yellow Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,925430400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000F295346A71CE54C0722DFFC603DF4140,73942,0101000020110F00006205BEEEBFAB61C17FA1911441455041,73321,>1m <=5m,ATBI DATABASE,,1446864591000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,298739,3957650,35.742296,-83.225668,Cosby Creek,Inadu Creek,3410.700684,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446864591000,GRSM,UNR,,4,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Viola_hastata,Viola  hastata,42317,Halberd-leaf Yellow Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,933033600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000E2BC8B3980CE54C0EAAF31910DDF4140,73941,0101000020110F0000DE98BA82CCAB61C19CE004534B455041,73320,>1m <=5m,ATBI DATABASE,,1446864590000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,298658,3957685,35.742595,-83.226572,Cosby Creek,Inadu Creek,3450.662842,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446864590000,GRSM,UNR,,7,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Viola_hastata,Viola  hastata,42317,Halberd-leaf Yellow Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,925430400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000002A520B6C88CE54C08426C1CF03DF4140,73940,0101000020110F0000F2F5FB78D3AB61C18D98BB1D41455041,73319,>1m <=5m,ATBI DATABASE,,1446864590000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,298612,3957653,35.742297,-83.227073,Cosby Creek,Inadu Creek,3466.187744,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446864590000,GRSM,UNR,,6,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Viola_hastata,Viola  hastata,42317,Halberd-leaf Yellow Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,933033600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000005D67CA8150CD54C0949AB7967BD14140,73947,0101000020110F0000AC852390CAAA61C1591B5A9C1A375041,73326,>1m <=5m,ATBI DATABASE,,1446864593000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,300070,3945886,35.636577,-83.208035,Straight Fork Raven Fork,,4352.775391,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446864593000,GRSM,UNR,,5,,,Beech Gap Trail,Beech Gap Trailhead Parking #2,Valid,Viola_hastata,Viola  hastata,42317,Halberd-leaf Yellow Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1369612800000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed,No,day,cert,ATBI
0101000020E61000009D8AE25556CA54C066CFA96148D14140,73952,0101000020110F0000E682234043A861C192078C19E5365041,73331,>1m <=5m,ATBI DATABASE,,1446864596000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,304279,3945619,35.635015,-83.161516,Upper Cataloochee Creek,Beech Creek,3969.5354,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446864596000,GRSM,UNR,,6,,,Palmer Creek Trail,Balsam Mountain Road (closed Winter),Valid,Viola_hastata,Viola  hastata,42317,Halberd-leaf Yellow Violet,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,899251200000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Violales, , , , ,Violaceae, ,~,observed, ,day,cert,Fridley Veg Plots
