the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000006CBEB76D08E454C0BDFB9199C0BA4140,196615,0101000020110F0000C77BEE0616BE61C14FBC6383601F5041,196492,>1m <=5m,ATBI DATABASE,,1446930145000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,267409,3926965,35.458996,-83.56301,Forney Creek,,1694.72168,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446930145000,GRSM,UNR,,3,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Junonia_coenia,Junonia  coenia,21184,Buckeye,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1087430400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,by hand,No,day,cert,Northshore Road EIS
0101000020E61000003EE53D733BCF54C06CD0B70F7DCF4140,196635,0101000020110F00002D496F856BAC61C1FE1A9C2905355041,196510,>1m <=5m,ATBI DATABASE,,1446930157000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,297317,3944219,35.620997,-83.238,Upper Raven Fork,,4585.983398,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446930157000,GRSM,UNR,,8,,,Hyatt Ridge Trail,Hyatt Ridge Trailhead,Valid,Junonia_coenia,Junonia  coenia,21184,Buckeye,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,579225600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000005D0E2B4416D754C0A2718017F8CA4140,196624,0101000020110F00002F7FD84E17B361C127E132A24C305041,196500,>1m <=5m,ATBI DATABASE,,1446930150000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,286106,3940562,35.585689,-83.36073,Upper Oconaluftee River,,2911.411133,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446930150000,GRSM,UNR,,8,,,Kephart Prong Trail,Newfound Gap Road South,Valid,Junonia_coenia,Junonia  coenia,21184,Buckeye,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-1085270400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000001C801A45B6D354C00AE4EE8066C64140,196627,0101000020110F000092D5FF8339B061C1A3F01B77872B5041,196503,>1m <=5m,ATBI DATABASE,,1446930152000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,290792,3936489,35.549996,-83.307996,Lower Oconaluftee River,Oconaluftee River,2175.952637,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446930152000,GRSM,UNR,,5,,,Newton Bald Concession Horse Trail Loop,Smokemont Horse Concessions Road,Valid,Junonia_coenia,Junonia  coenia,21184,Buckeye,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1090195200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,aerial net, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000112410BEF6D254C0324D780C06C54140,196634,0101000020110F0000A6D8EBD996AF61C17D25C392172A5041,196509,>1m <=5m,ATBI DATABASE,,1446930156000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291824,3935271,35.53924,-83.296306,Lower Oconaluftee River,Tow String Creek,2136.459229,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446930156000,GRSM,UNR,,6,,,Chambers Cemetery Access,Tow String Horse Barn Road,Valid,Junonia_coenia,Junonia  coenia,21184,Buckeye,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1155427200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000001D43145433D354C06AF383E347C14140,196630,0101000020110F0000CD33954ECAAF61C1C15D4CB22F265041,196506,>1m <=5m,ATBI DATABASE,,1446930154000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291413,3932035,35.51,-83.300004,Lower Oconaluftee River,,2015.644165,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446930154000,GRSM,UNR,,5,,,Oconaluftee River Trail,Access Road To Big Cove Road,Valid,Junonia_coenia,Junonia  coenia,21184,Buckeye,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,998006400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000257745E174D354C01CEC48538FC24140,196628,0101000020110F00001EC9DAFA01B061C12E73235985275041,196504,>1m <=5m,ATBI DATABASE,,1446930153000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291076,3933152,35.519992,-83.304005,Lower Oconaluftee River,Oconaluftee River,2049.396729,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446930153000,GRSM,UNR,,5,,,Floyd Cemetery Access,Oconaluftee Job Corps Center Access Road,Valid,Junonia_coenia,Junonia  coenia,21184,Buckeye,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1090281600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,aerial net, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000AE595C5308D454C0AFA73B2EAEC74140,196625,0101000020110F000083C69E347FB061C1BE06CE89DD2C5041,196501,>1m <=5m,ATBI DATABASE,,1446930151000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,290364,3937609,35.559996,-83.313004,Bradley Fork,Bradley Fork,2221.683594,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446930151000,GRSM,UNR,,5,,,Smokemont Nature Trail,Smokemont Campground Road F,Valid,Junonia_coenia,Junonia  coenia,21184,Buckeye,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-1091923200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000E1B4713B89D954C00B3B482C02CB4140,196622,0101000020110F0000771354CA2BB561C16E68662957305041,196498,>1m <=5m,ATBI DATABASE,,1446930149000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,282639,3940680,35.585997,-83.398997,Deep Creek,,4647.351562,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446930149000,GRSM,UNR,,6,,,Thomas Divide Trail,Newfound Gap Road South,Valid,Junonia_coenia,Junonia  coenia,21184,Buckeye,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-390787200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E610000009150D3383D854C0632BB9A1E1DA4140,196623,0101000020110F00006AF4ED3E4DB461C1CB67F413EE405041,196499,>1m <=5m,ATBI DATABASE,,1446930150000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,284422,3954402,35.710004,-83.383004,Little Pigeon River Middle,Little Pigeon River,1647.718506,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446930150000,GRSM,UNR,,10,,,Old Settlers Trail,Greenbrier Unpaved Road,Valid,Junonia_coenia,Junonia  coenia,21184,Buckeye,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-1028592000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E61000008D72CB6FBAE954C07AAFBFC416D94140,196610,0101000020110F00000DD95650ECC261C16F79E22A0E3F5041,196488,>1m <=5m,ATBI DATABASE,,1446930143000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,260040,3953473,35.696,-83.652,Waldon Creek,,1695.879883,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446930143000,GRSM,UNR,,6,,,Roundtop Trail,Wear Cove Gap Road,Valid,Junonia_coenia,Junonia  coenia,21184,Buckeye,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-390787200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E610000006BC8A941FEC54C00299BE5318D24140,196609,0101000020110F000047638C0EF5C461C1D61C3168BE375041,196487,>1m <=5m,ATBI DATABASE,,1446930142000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,256487,3947503,35.641361,-83.689423,Little River-Crooked Creek,Middle Prong Little River,1349.121338,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446930142000,GRSM,UNR,,6,,,Lumber Ridge Trail,Tremont Environmental Education Center Road,Valid,Junonia_coenia,Junonia  coenia,21184,Buckeye,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1187740800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,aerial net,No,day,cert,ATBI
0101000020E61000009BB614CA21EC54C01B2AE70705D24140,196608,0101000020110F0000E85EDCEEF6C461C15EA2C63DAA375041,196486,>1m <=5m,ATBI DATABASE,,1446930142000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,256473,3947438,35.640772,-83.689558,Little River-Crooked Creek,Middle Prong Little River,1350.795044,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446930142000,GRSM,UNR,,5,,,Lumber Ridge Trail,Tremont Environmental Education Center Road,Valid,Junonia_coenia,Junonia  coenia,21184,Buckeye,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1211846400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,aerial net,No,day,cert,ATBI
0101000020E61000006109CC8CDCE654C043B76DD8A9D24140,196612,0101000020110F0000C26E0B067DC061C1FE56987C56385041,196490,>1m <=5m,ATBI DATABASE,,1446930144000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,263946,3947795,35.645801,-83.607207,Little River-Goshen Prong,Kiver Branch,2606.37085,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446930144000,GRSM,UNR,,1,,,Meigs Mountain Trail,Little River Gorge Road,Valid,Junonia_coenia,Junonia  coenia,21184,Buckeye,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-997833600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000828A12435EE254C094F8E1C2EFD74140,196619,0101000020110F0000F6F56A15ACBC61C161465BACD93D5041,196495,>1m <=5m,ATBI DATABASE,,1446930147000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,270422,3952199,35.686998,-83.536999,West Prong Little Pigeon River Upper,Ash Hopper Branch,1461.809082,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446930147000,GRSM,UNR,,6,,,Fighting Creek Nature Trail,Sugarlands Headquarters Parking A,Valid,Junonia_coenia,Junonia  coenia,21184,Buckeye,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-1017964800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E61000006909585C10E054C04402EDDEEFC74140,196621,0101000020110F0000B5B88F14B7BA61C11CF2A11E222D5041,196497,>1m <=5m,ATBI DATABASE,,1446930148000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273328,3938248,35.562001,-83.500995,Forney Creek,Forney Creek,6497.589844,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446930148000,GRSM,UNR,,6,,,Clingmans Dome Bypass Trail,Clingmans Dome Access Road,Valid,Junonia_coenia,Junonia  coenia,21184,Buckeye,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-1085702400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E61000002CE26C2185E354C03AA2874954C34140,196616,0101000020110F00004D450084A6BD61C1A477A0E152285041,196493,>1m <=5m,ATBI DATABASE,,1446930146000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,268329,3934380,35.526003,-83.554997,Forney Creek,Jonas Creek,2753.42334,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446930146000,GRSM,UNR,,3,,,Jonas Creek Trail,Clingmans Dome Road Parking #3,Valid,Junonia_coenia,Junonia  coenia,21184,Buckeye,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-1088899200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E610000089E93113AAF254C0842B386D5ACD4140,196603,0101000020110F00006532AB3483CA61C12F20DC19CA325041,196481,>1m <=5m,ATBI DATABASE,,1446930139000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,247114,3943651,35.604315,-83.791626,Abrams Creek Upper,,1787.897705,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446930139000,GRSM,UNR,,6,,,John Oliver Cabin access ,Sparks Lane Road,Valid,Junonia_coenia,Junonia  coenia,21184,Buckeye,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1216252800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Nymphalinae,~,aerial net,No,day,cert,ATBI
