the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000E624015B1FF754C0F44E983F45BC4140,142261,0101000020110F00003B94E17E4CCE61C156041EC8F5205041,141877,>1m <=5m,ATBI DATABASE,,1446898944000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240372,3929025,35.470856,-83.861285,Lake Cheoah-Little Tennessee River,Twentymile Creek,1736.993652,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446898944000,GRSM,UNR,,4,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Conopholis_americana,Conopholis  americana,9720,American Squawroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1020297600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Orobanchaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000075AD4641D3CC54C00F0D181F84CC4140,142323,0101000020110F00004089BC2F60AA61C16F997F40EA315041,141934,>1m <=5m,ATBI DATABASE,,1446898977000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,300666,3941566,35.597775,-83.20039,Straight Fork Raven Fork,,4566.72998,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446898977000,GRSM,UNR,,1,,,Spruce Mountain Trail,Balsam Mountain Road (closed Winter),Valid,Conopholis_americana,Conopholis  americana,9720,American Squawroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1030320000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Orobanchaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000001165DF7DC4CE54C0E9975D37F2CE4140,142322,0101000020110F000031F4607D06AC61C10B480B1A74345041,141933,>1m <=5m,ATBI DATABASE,,1446898976000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,297964,3943734,35.61676,-83.230739,Straight Fork Raven Fork,Hyatt Creek,3685.529297,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446898976000,GRSM,UNR,,4,,,Hyatt Ridge Trail,Hyatt Ridge Trailhead,Valid,Conopholis_americana,Conopholis  americana,9720,American Squawroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,998870400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Orobanchaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000002650B5F738D054C073102C0274CD4140,142321,0101000020110F00004CD96BD542AD61C124FBC6D2E4325041,141932,>1m <=5m,ATBI DATABASE,,1446898975000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,295875,3942487,35.605096,-83.253473,Upper Raven Fork,Ramp Cove Branch,4342.522949,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446898975000,GRSM,UNR,,4,,,Enloe Creek Trail,Straight Fork Road,Valid,Conopholis_americana,Conopholis  americana,9720,American Squawroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,925171200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Orobanchaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000F2AD21CE29DD54C03C67275D9CC34140,142314,0101000020110F0000DEB47C6D40B861C174B633199E285041,141926,>1m <=5m,ATBI DATABASE,,1446898972000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,277343,3934395,35.528202,-83.455673,Noland Creek,,4333.597168,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446898972000,GRSM,UNR,,3,,,Noland Divide Trail,Clingmans Dome Road Parking #3,Valid,Conopholis_americana,Conopholis  americana,9720,American Squawroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1372032000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Orobanchaceae, ,~,observed,No,day,cert,ATBI
0101000020E6100000C356E54FAFDD54C07C019A61D3C24140,142309,0101000020110F0000BD4FACD0B1B861C111DA2E5DCC275041,141921,>1m <=5m,ATBI DATABASE,,1446898969000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,276587,3933733,35.522069,-83.463821,Noland Creek,Noland Creek,3364.074951,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446898969000,GRSM,UNR,,5,,,Noland Creek Trail,Clingmans Dome Road Parking #3,Valid,Conopholis_americana,Conopholis  americana,9720,American Squawroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087171200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Orobanchaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000069D4D9D80DD54C086927C3EADC04140,142312,0101000020110F0000F73EA2278AB861C1EF835C5A8E255041,141924,>1m <=5m,ATBI DATABASE,,1446898971000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,276799,3931864,35.50528,-83.460971,Deep Creek,,4447.407715,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446898971000,GRSM,UNR,,3,,,Noland Divide Trail,West Deep Creek Road,Valid,Conopholis_americana,Conopholis  americana,9720,American Squawroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1372032000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Orobanchaceae, ,~,observed,No,day,cert,ATBI
0101000020E61000001655D3B680DE54C00CC12DFC39C14140,142303,0101000020110F000037280EA963B961C1A306AE3021265041,141916,>1m <=5m,ATBI DATABASE,,1446898966000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,275393,3932376,35.509575,-83.476602,Noland Creek,Noland Creek,3050.013184,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446898966000,GRSM,UNR,,6,,,Noland Creek Trail,Lakeview Drive East,Valid,Conopholis_americana,Conopholis  americana,9720,American Squawroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087430400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Orobanchaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000013A0B5C13ADF54C07650F5AADCC04140,142301,0101000020110F0000483395AA01BA61C1A11879D4BF255041,141914,>1m <=5m,ATBI DATABASE,,1446898965000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,274355,3932086,35.506727,-83.487957,Noland Creek,Noland Creek,2889.060547,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446898965000,GRSM,UNR,,6,,,Noland Creek Trail,Lakeview Drive East,Valid,Conopholis_americana,Conopholis  americana,9720,American Squawroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087430400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Orobanchaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000E27065D79DDF54C08CBFCB1EFEC44140,142300,0101000020110F00004327ABD155BA61C1DD28564C0F2A5041,141913,>1m <=5m,ATBI DATABASE,,1446898965000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273897,3935680,35.538998,-83.494005,Noland Creek,Keeyuga Creek,5757.082031,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446898965000,GRSM,UNR,,6,,,Forney Ridge Trail,Clingmans Dome Road Parking #3,Valid,Conopholis_americana,Conopholis  americana,9720,American Squawroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-1262304000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Orobanchaceae, ,~,unspecified,No,decade,cert,GRSMNP Grassy Balds
0101000020E6100000AEA800998FDD54C04A0295702FC44140,142311,0101000020110F0000CC624BE196B861C1D3C2C49637295041,141923,>1m <=5m,ATBI DATABASE,,1446898970000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,276792,3934907,35.532691,-83.461885,Noland Creek,,4171.227051,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446898970000,GRSM,UNR,,3,,,Noland Creek Trail,Clingmans Dome Road Parking #3,Valid,Conopholis_americana,Conopholis  americana,9720,American Squawroot,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086912000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Orobanchaceae, ,~,observed, ,day,cert,Fridley Veg Plots
