the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000731507A790EF54C05A440FDA7DBD4140,184388,0101000020110F00009C440B5AE1C761C130F8E3CB3B225041,184000,>1m <=5m,ATBI DATABASE,,1446922851000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,251119,3929779,35.480396,-83.7432,Hazel Creek,Shehan Branch,1973.419434,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446922851000,GRSM,UNR,,1,,,Lakeshore Trail,Lakeview Drive West,Valid,Hieracium_paniculatum,Hieracium  paniculatum,17786,Allegheny Hawkweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096761600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000039DD00D36CCC54C0CCDDD9F13BCC4140,184411,0101000020110F000090EA263109AA61C13A2D71DD9E315041,184020,>1m <=5m,ATBI DATABASE,,1446922862000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,301227,3941309,35.595573,-83.194138,Straight Fork Raven Fork,,4929.011719,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446922862000,GRSM,UNR,,6,,,Spruce Mountain Trail,Balsam Mountain Road (closed Winter),Valid,Hieracium_paniculatum,Hieracium  paniculatum,17786,Allegheny Hawkweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,999129600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000001165DF7DC4CE54C0E9975D37F2CE4140,184409,0101000020110F000031F4607D06AC61C10B480B1A74345041,184018,>1m <=5m,ATBI DATABASE,,1446922861000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,297964,3943734,35.61676,-83.230739,Straight Fork Raven Fork,Hyatt Creek,3685.529297,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446922861000,GRSM,UNR,,4,,,Hyatt Ridge Trail,Hyatt Ridge Trailhead,Valid,Hieracium_paniculatum,Hieracium  paniculatum,17786,Allegheny Hawkweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,998870400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000F2AD21CE29DD54C03C67275D9CC34140,184403,0101000020110F0000DEB47C6D40B861C174B633199E285041,184013,>1m <=5m,ATBI DATABASE,,1446922858000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,277343,3934395,35.528202,-83.455673,Noland Creek,,4333.597168,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446922858000,GRSM,UNR,,3,,,Noland Divide Trail,Clingmans Dome Road Parking #3,Valid,Hieracium_paniculatum,Hieracium  paniculatum,17786,Allegheny Hawkweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1372032000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed,No,day,prob.,ATBI
0101000020E6100000E27065D79DDF54C08CBFCB1EFEC44140,184398,0101000020110F00004327ABD155BA61C1DD28564C0F2A5041,184008,>1m <=5m,ATBI DATABASE,,1446922855000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273897,3935680,35.538998,-83.494005,Noland Creek,Keeyuga Creek,5757.082031,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446922855000,GRSM,UNR,,6,,,Forney Ridge Trail,Clingmans Dome Road Parking #3,Valid,Hieracium_paniculatum,Hieracium  paniculatum,17786,Allegheny Hawkweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-1262304000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,unspecified,No,decade,cert,GRSMNP Grassy Balds
0101000020E610000089BCB54415DE54C003C3B1EF49D74140,184402,0101000020110F000092481A6808B961C1AEF252482C3D5041,184012,>1m <=5m,ATBI DATABASE,,1446922857000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,276468,3951483,35.681937,-83.470044,Baskins Creek,Baskins Creek,3186.712891,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446922857000,GRSM,UNR,,6,,,Trillium Gap Trail,Roaring Fork Motor Nature Trail,Valid,Hieracium_paniculatum,Hieracium  paniculatum,17786,Allegheny Hawkweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,872035200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000007CC2C61386D054C07DB1A5BE21DE4140,184408,0101000020110F0000B1D8AA5284AD61C1D5BED99254445041,184017,>1m <=5m,ATBI DATABASE,,1446922860000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,295781,3956952,35.735398,-83.258179,Cosby Creek,,4887.091797,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446922860000,GRSM,UNR,,7,,,Maddron Bald Trail,Cosby Campground Road B,Valid,Hieracium_paniculatum,Hieracium  paniculatum,17786,Allegheny Hawkweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,969926400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000006297F7248FD954C0CCD881876ADD4140,184404,0101000020110F00009993C3CF30B561C152CE1EE294435041,184014,>1m <=5m,ATBI DATABASE,,1446922858000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,282996,3956635,35.729807,-83.399358,Little Pigeon River Middle,Little Pigeon River,1896.534058,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446922858000,GRSM,UNR,,10,,,Old Settlers Trail,Greenbrier Unpaved Road,Valid,Hieracium_paniculatum,Hieracium  paniculatum,17786,Allegheny Hawkweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,874368000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000CE3C1ED2A6E154C0A270C9B383C44140,184393,0101000020110F000072ED764910BC61C1A58EC6878F295041,184005,>1m <=5m,ATBI DATABASE,,1446922853000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,271003,3935339,35.535262,-83.525803,Forney Creek,,3679.665039,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446922853000,GRSM,UNR,,6,,,Forney Creek Trail,Clingmans Dome Road Parking #3,Valid,Hieracium_paniculatum,Hieracium  paniculatum,17786,Allegheny Hawkweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1097020800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000C10C5BED40E154C09FF0923F65C24140,184395,0101000020110F0000A3E8AABFB9BB61C1A2912E7159275041,184006,>1m <=5m,ATBI DATABASE,,1446922854000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,271520,3933488,35.518708,-83.519584,Forney Creek,Springhouse Branch,4504.470215,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446922854000,GRSM,UNR,,7,,,Forney Ridge Trail,Clingmans Dome Road Parking #3,Valid,Hieracium_paniculatum,Hieracium  paniculatum,17786,Allegheny Hawkweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065657600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000B1902317A8EE54C0ADB1D62031C84140,184390,0101000020110F000021EB31D61BC761C1AC5A3D40662D5041,184002,>1m <=5m,ATBI DATABASE,,1446922852000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,252664,3939018,35.563992,-83.729005,Eagle Creek,Anthony Creek,4935.576172,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446922852000,GRSM,UNR,,7,,,Appalachian Trail,Laurel Creek Road,Valid,Hieracium_paniculatum,Hieracium  paniculatum,17786,Allegheny Hawkweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,-315619200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,unspecified,No,decade,cert,GRSMNP Grassy Balds
0101000020E610000092CCBAE497E854C02AE6D912DDCD4140,184392,0101000020110F00007F0A2D8EF5C161C119D9429352335041,184004,>1m <=5m,ATBI DATABASE,,1446922853000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,261384,3943700,35.608302,-83.634267,Little River-Crooked Creek,Panther Creek,2744.663574,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446922853000,GRSM,UNR,,5,,,Panther Creek Trail,Upper Tremont Road,Valid,Hieracium_paniculatum,Hieracium  paniculatum,17786,Allegheny Hawkweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,999043200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000005776C1E09AF654C0F3CFAD9397CE4140,184367,0101000020110F000015C17FFBDBCD61C15EEAA86815345041,183980,>1m <=5m,ATBI DATABASE,,1446922840000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,241566,3944885,35.613994,-83.853199,Abrams Creek Lower,,2162.467285,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446922840000,GRSM,UNR,,4,,,Cooper Road Trail,Cades Cove Loop Road,Valid,Hieracium_paniculatum,Hieracium  paniculatum,17786,Allegheny Hawkweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,870912000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000A1C3E4EF79F154C06E8AF1E8A6CA4140,184383,0101000020110F0000F457BDE680C961C17E809BDAF72F5041,183995,>1m <=5m,ATBI DATABASE,,1446922848000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,248730,3941262,35.583212,-83.773063,Abrams Creek Upper,Rowans Creek,2953.086182,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446922848000,GRSM,UNR,,7,,,Russell Field Trail,Cades Cove Loop Road,Valid,Hieracium_paniculatum,Hieracium  paniculatum,17786,Allegheny Hawkweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,220924800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E6100000E289494DF5F054C014AAA8B501CA4140,184384,0101000020110F00007AEF144110C961C1B4D825574B2F5041,183996,>1m <=5m,ATBI DATABASE,,1446922848000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,249448,3940682,35.57817,-83.764968,Abrams Creek Upper,,3417.666504,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446922848000,GRSM,UNR,,4,,,Russell Field Trail,Cades Cove Campground Segment A,Valid,Hieracium_paniculatum,Hieracium  paniculatum,17786,Allegheny Hawkweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,839462400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000EAD7A6A9ECF054C05A6DD5E003CA4140,184385,0101000020110F00001331BDEA08C961C1FDA8E19A4D2F5041,183997,>1m <=5m,ATBI DATABASE,,1446922849000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,249496,3940688,35.578237,-83.764441,Abrams Creek Upper,,3380.623047,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446922849000,GRSM,UNR,,7,,,Russell Field Trail,Cades Cove Campground Segment A,Valid,Hieracium_paniculatum,Hieracium  paniculatum,17786,Allegheny Hawkweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,220924800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E6100000553C087646F354C099C67D4B03C64140,184380,0101000020110F0000FEBF440608CB61C16D3A04E81F2B5041,183992,>1m <=5m,ATBI DATABASE,,1446922846000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,246068,3937313,35.546969,-83.801171,Abrams Creek Upper,Lonesome Branch,4073.23584,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446922846000,GRSM,UNR,,6,,,Appalachian Trail,Forge Creek Parking @ End,Valid,Hieracium_paniculatum,Hieracium  paniculatum,17786,Allegheny Hawkweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,874972800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000BF57358772F254C016AB14AFB0C54140,184381,0101000020110F0000B830A10754CA61C1BED108ADC92A5041,183993,>1m <=5m,ATBI DATABASE,,1446922847000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,247233,3937000,35.544448,-83.788236,Eagle Creek,Lawson Gant Lot Branch,4536.442871,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446922847000,GRSM,UNR,,7,,,Appalachian Trail,Cades Cove Loop Road,Valid,Hieracium_paniculatum,Hieracium  paniculatum,17786,Allegheny Hawkweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,902361600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000007D2C2EA28EF354C0E9E311446CC54140,184377,0101000020110F00007A28115245CB61C159BE2A43822A5041,183989,>1m <=5m,ATBI DATABASE,,1446922845000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,245654,3936813,35.54236,-83.805577,Abrams Creek Upper,,3968.437744,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446922845000,GRSM,UNR,,8,,,Appalachian Trail,Forge Creek Parking @ End,Valid,Hieracium_paniculatum,Hieracium  paniculatum,17786,Allegheny Hawkweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,378691200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Asterales, , , , ,Asteraceae, ,~,observed, ,year,cert,Fridley Veg Plots
